N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
207,5.9,507,7.5,0.55,0.44,0.35,3.24,0.88,7.94,0
126,8.3,496,7.6,0.61,0.47,0.4,3.56,0.74,8.65,0
88,7.2,391,7.6,0.63,0.29,0.26,3.66,0.54,8.4,0
163,9,338,7.5,0.47,0.97,0.26,3.84,0.65,9.27,0
138,7.7,454,7.6,0.58,0.32,0.33,3.94,0.6,9.04,0
188,4.6,549,7.7,0.53,0.27,0.34,3.49,0.43,8.45,0
195,8.3,475,7.6,0.42,0.15,0.29,3.56,0.55,8.66,0
195,8.1,327,7.61,0.67,0.21,0.23,3.43,0.7,8.53,0
264,7.2,444,7.47,0.45,0.35,0.15,3.95,0.76,8.65,1
182,7.7,507,7.46,0.53,0.29,0.25,2.35,0.55,7.54,0
188,5.3,496,7.52,0.44,0.35,0.36,3.19,0.69,7.99,0
132,6.8,570,7.43,0.52,0.38,0.36,2.96,0.8,8.66,0
213,5.3,433,7.48,0.77,0.47,0.37,2.77,0.87,8.94,0
144,8.3,370,7.46,0.68,0.53,0.25,2.55,0.99,8.35,0
182,5.9,549,7.57,0.78,0.35,0.29,2.96,0.97,8.6,0
182,4.8,433,7.62,0.44,0.29,0.37,3.16,0.87,8.76,0
132,7.2,560,7.54,0.81,0.12,0.39,3.53,0.95,9.23,0
138,6.1,454,7.73,0.66,0.97,0.37,2.95,1.1,7.65,0
207,5.9,391,7.58,0.78,0.76,0.29,2.54,1.2,7.9,0
113,5,370,7.6,0.82,0.71,0.19,2.75,0.97,7.96,0
220,7,359,7.67,0.78,0.35,0.29,2.6,0.85,8.27,0
126,8.1,338,7.4,0.67,0.29,0.34,2.66,0.97,8.55,0
163,6.8,327,7.37,0.51,0.38,0.35,2.93,0.97,8.34,0
201,7.7,454,7.31,0.44,0.47,0.26,3.24,1.05,8.45,0
100,8.3,570,7.44,0.41,0.35,0.34,3.09,1.2,9,0
69,7,560,7.36,0.47,0.41,0.29,3.06,1.07,9.26,0
289,7.9,465,7.42,0.43,0.35,0.36,3.24,0.77,9.73,1
333,7.5,507,7.53,0.54,0.44,0.23,2.75,0.85,8.45,0
314,7.2,391,7.61,0.52,0.47,0.34,2.83,0.9,8.66,1
301,6.8,496,7.57,0.68,1,0.25,2.65,0.97,8.34,1
289,8.3,507,7.45,0.49,0.29,0.4,2.96,0.97,8.25,1
220,5.9,454,7.43,0.67,0.12,0.33,3.14,0.85,8.97,0
232,7.7,549,7.38,0.43,0.44,0.34,3.25,0.74,8.37,0
176,7.5,539,7.54,0.65,0.47,0.35,3.54,0.85,9.05,0
188,6.4,496,7.59,0.48,0.35,0.34,2.76,1,9.76,0
88,6.8,539,7.43,0.52,0.53,0.25,2.84,0.83,9.84,0
82,7.5,507,7.61,0.47,0.5,0.37,2.96,0.94,8.94,0
169,5.9,338,7.57,0.41,0.65,0.27,3.15,0.99,9.09,0
245,6.1,496,7.42,0.58,0.24,0.24,2.84,0.94,7.73,0
270,7.9,253,7.48,0.57,0.59,0.24,2.49,0.52,7.74,1
345,8.1,338,7.31,0.41,0.85,0.34,2.42,0.65,8.64,1
333,7.7,275,7.54,0.55,0.47,0.36,2.53,0.46,8.66,1
282,6.8,306,7.29,0.62,0.44,0.27,2.65,0.57,8.45,1
282,8.3,486,7.47,0.51,0.71,0.26,2.66,0.64,8.57,1
270,8.1,296,7.41,0.63,0.76,0.34,2.48,0.63,8.67,1
289,6.1,359,7.39,0.58,0.44,0.33,2.36,0.66,7.73,1
201,7.5,391,7.41,0.54,0.53,0.23,2.38,0.77,7.84,0
213,8.3,444,7.35,0.67,0.88,0.26,2.28,0.48,8.44,0
270,6.4,539,7.57,0.61,0.26,0.27,2.47,0.52,6.95,1
207,5.9,348,7.54,0.59,0.29,0.37,3.44,0.64,7.46,0
295,8.3,602,7.68,0.51,0.62,0.34,2.54,0.43,7.32,1
251,5.3,338,7.73,0.57,0.82,0.23,2.68,0.44,7.24,0
276,6.8,507,7.51,0.41,0.5,0.24,2.67,0.57,6.44,1
163,7.5,359,7.62,0.67,0.47,0.24,2.75,0.64,6.56,0
213,7,327,7.71,0.67,0.74,0.25,3.46,0.76,8.47,0
207,6.1,454,7.4,0.43,0.12,0.35,3.93,0.88,8.68,0
200,6.8,391,7.67,0.72,0.35,0.37,2.93,0.96,8.65,0
301,7.2,412,7.71,0.64,0.32,0.29,2.63,0.83,7.76,1
188,6.4,422,7.78,0.56,0.53,0.23,2.72,0.43,7.74,0
201,7.5,465,7.71,0.48,0.5,0.22,2.87,0.72,7.72,0
207,5.9,243,7.62,0.45,0.76,0.24,2.47,0.73,7.63,0
307,6.6,401,7.53,0.71,0.82,0.34,2.93,0.67,7.84,1
207,7.7,380,7.64,0.67,0.26,0.26,3.93,0.68,8.85,0
326,8.3,285,7.38,0.82,0.88,0.27,3.63,0.63,8.96,1
270,6.8,296,7.59,0.33,0.56,0.26,3.74,0.74,8.73,1
195,4.8,496,7.43,0.67,0.85,0.27,2.45,0.74,6.73,0
182,8.3,338,7.61,0.58,0.88,0.26,2.56,0.71,7.83,0
295,4.8,348,7.77,0.61,0.24,0.25,2.84,0.12,7.73,1
151,7.5,327,7.63,0.73,0.29,0.33,2.49,0.63,7.23,0
333,5.9,391,7.44,0.66,0.26,0.26,3.51,0.25,7.35,1
157,6.4,327,7.45,0.34,0.5,0.35,2.56,0.14,8.75,0
370,5,496,7.62,0.41,0.76,0.34,2.44,0.25,8.36,1
163,5.9,317,7.43,0.38,0.59,0.34,3.43,0.16,8.32,0
377,6.8,327,7.51,0.85,0.26,0.25,3.63,1.08,7.84,1
264,7.9,391,7.34,0.61,0.24,0.25,2.44,0.22,7.44,1
358,7.2,359,7.49,0.67,0.5,0.26,2.64,0.29,7.55,1
320,4.6,422,7.38,0.53,0.76,0.24,2.74,0.18,7.66,1
126,7.5,444,7.67,0.7,0.74,0.35,2.43,1.96,7.77,0
333,6.8,327,7.53,0.62,0.38,0.26,3.44,0.45,7.84,1
213,8.6,348,7.62,0.64,0.15,0.27,3.45,0.86,8.43,0
245,5.9,285,7.61,0.71,0.24,0.34,2.56,0.1,7.54,0
157,5,401,7.58,0.45,0.21,0.32,2.67,0.64,7.45,0
213,5.7,507,7.66,0.63,0.47,0.33,2.74,0.73,7.68,0
82,7.5,391,7.65,0.78,0.76,0.27,4.44,0.83,7.73,0
195,5.9,422,7.66,0.53,0.74,0.27,3.44,0.43,8.74,0
100,6.8,560,7.71,0.67,1.03,0.38,2.45,1.54,8.25,0
238,5.7,454,7.61,0.62,1.09,0.34,2.56,1.1,7.36,0
213,59.2,539,7.54,0.44,0.82,0.33,2.67,0.64,7.58,0
6,7.2,285,7.42,0.53,0.82,0.34,2.68,0.73,7.34,0
257,6.4,243,7.43,0.58,0.26,0.34,3.74,0.84,8.94,0
188,5.7,317,7.52,0.62,0.29,0.25,3.43,0.09,8.84,0
144,8.3,296,7.47,0.58,0.53,0.24,3.43,0.93,7.45,0
238,6.8,327,7.54,0.43,0.79,0.35,2.44,0.93,7.36,0
157,5,444,7.33,0.59,0.76,0.34,2.45,0.83,7.98,0
195,6.8,391,7.48,0.37,0.15,0.23,2.56,0.62,7.35,0
63,5.9,454,7.53,0.65,0.12,0.23,3.43,0.43,8.24,0
238,7.2,444,7.51,0.58,0.1,0.38,7.05,1.56,8.63,0
163,7.5,560,7.43,0.59,0.49,0.51,4.63,0.85,12.84,0
232,6.1,391,7.47,0.63,0.2,0.6,8.02,1.53,9.63,0
132,6.8,327,7.71,0.61,0.59,0.79,6.32,1.87,7.51,0
207,7.5,444,7.64,0.44,0.39,0.53,5.5,1.25,13.25,0
195,8.1,327,7.62,0.62,0.29,0.48,9.06,0.63,18.54,0
138,6.6,317,7.53,0.53,1.07,0.35,7.51,0.8,11.69,0
251,7.5,359,7.41,0.51,0.68,0.29,4.56,1.35,12.58,0
207,6.8,433,7.57,0.62,0.39,0.62,8.04,1.74,9.63,0
307,7.2,338,7.41,0.42,0.78,0.47,5.26,0.65,11.53,1
264,5.3,422,7.67,0.63,0.49,0.51,9.26,0.84,8.56,0
201,7.5,348,7.63,0.43,0.1,0.38,7.51,1.32,17.59,0
257,8.1,444,7.62,0.51,0.59,0.57,8.02,1.85,9.53,0
144,5,327,7.71,0.71,0.39,0.36,5.03,0.69,11.06,0
251,5.7,275,7.53,0.54,0.88,0.47,9.22,1.02,5.09,0
182,7.5,338,7.51,0.61,0.29,0.24,2.84,0.94,7.73,0
